horse,session_id,n_rows,stride_dur_mean,stride_dur_std,stride_dur_iqr,stride_dur_min,stride_dur_max,duty_factor_mean,duty_factor_std,duty_factor_iqr,duty_factor_min,duty_factor_max,duty_factor_LF_mean,duty_factor_LF_std,duty_factor_LF_iqr,duty_factor_LF_min,duty_factor_LF_max,duty_factor_RF_mean,duty_factor_RF_std,duty_factor_RF_iqr,duty_factor_RF_min,duty_factor_RF_max,duty_factor_LH_mean,duty_factor_LH_std,duty_factor_LH_iqr,duty_factor_LH_min,duty_factor_LH_max,duty_factor_RH_mean,duty_factor_RH_std,duty_factor_RH_iqr,duty_factor_RH_min,duty_factor_RH_max,stance_dur_LF_mean,stance_dur_LF_std,stance_dur_LF_iqr,stance_dur_LF_min,stance_dur_LF_max,stance_dur_RF_mean,stance_dur_RF_std,stance_dur_RF_iqr,stance_dur_RF_min,stance_dur_RF_max,stance_dur_LH_mean,stance_dur_LH_std,stance_dur_LH_iqr,stance_dur_LH_min,stance_dur_LH_max,stance_dur_RH_mean,stance_dur_RH_std,stance_dur_RH_iqr,stance_dur_RH_min,stance_dur_RH_max,dap_L_sec_mean,dap_L_sec_std,dap_L_sec_iqr,dap_L_sec_min,dap_L_sec_max,dap_L_perc_mean,dap_L_perc_std,dap_L_perc_iqr,dap_L_perc_min,dap_L_perc_max,dap_R_sec_mean,dap_R_sec_std,dap_R_sec_iqr,dap_R_sec_min,dap_R_sec_max,dap_R_perc_mean,dap_R_perc_std,dap_R_perc_iqr,dap_R_perc_min,dap_R_perc_max,min_diff_head_mean,min_diff_head_std,min_diff_head_iqr,min_diff_head_min,min_diff_head_max,max_diff_head_mean,max_diff_head_std,max_diff_head_iqr,max_diff_head_min,max_diff_head_max,si_up_head_mean,si_up_head_std,si_up_head_iqr,si_up_head_min,si_up_head_max,min_diff_wth_mean,min_diff_wth_std,min_diff_wth_iqr,min_diff_wth_min,min_diff_wth_max,max_diff_wth_mean,max_diff_wth_std,max_diff_wth_iqr,max_diff_wth_min,max_diff_wth_max,si_up_wth_mean,si_up_wth_std,si_up_wth_iqr,si_up_wth_min,si_up_wth_max,min_diff_sac_mean,min_diff_sac_std,min_diff_sac_iqr,min_diff_sac_min,min_diff_sac_max,max_diff_sac_mean,max_diff_sac_std,max_diff_sac_iqr,max_diff_sac_min,max_diff_sac_max,si_up_sac_mean,si_up_sac_std,si_up_sac_iqr,si_up_sac_min,si_up_sac_max,stride_speed_mean,stride_speed_std,stride_speed_iqr,stride_speed_min,stride_speed_max,stride_length_mean,stride_length_std,stride_length_iqr,stride_length_min,stride_length_max
Duque,20240626T082743,117,0.7767239316239317,0.023375689735620084,0.031200000000000006,0.7269,0.8419,49.37528376068376,1.8830896681434193,2.4457999999999984,46.3361,54.4892,53.20850427350427,2.5374391094237714,3.5174999999999983,47.4916,62.1118,50.90591538461539,2.1729188591344046,3.330599999999997,46.9388,55.9748,45.317346153846145,3.807648044544995,6.119500000000002,35.5705,53.1722,48.069399999999995,1.5353497110902217,1.5007999999999981,41.4474,51.9174,0.4138888888888889,0.03027966706468043,0.03999999999999998,0.35,0.51,0.39581196581196587,0.025545406370216756,0.03999999999999998,0.345,0.46,0.35213675213675205,0.037544894042609744,0.05499999999999999,0.265,0.44,0.3735470085470086,0.01975125300542751,0.025000000000000022,0.315,0.44,-0.0241025641025641,0.028471214929742576,0.035,-0.11,0.04,-3.1331162393162395,3.6809828143880567,4.7607,-14.0687,5.4376,-0.01239316239316239,0.019159024732646485,0.02,-0.07,0.03,-1.5780256410256415,2.445030503940378,2.6801,-8.7024,4.0134,18.660529310344824,13.03771333048204,18.65635,-16.1265,49.1744,12.19323090909091,16.70377049680835,27.298575,-18.5946,50.5176,0.3785844827586207,0.28097803336805943,0.36130000000000007,-0.4976,0.8073,-6.824511304347826,15.199777393717163,28.0514,-35.0826,18.2608,-0.9163938596491226,9.311507350169618,16.428125,-16.4886,19.4487,-0.1099391304347826,0.15255963268687106,0.2165,-0.4486,0.2212,14.847100862068965,7.284053542965061,9.024625,-21.9627,31.1676,-1.336575221238938,6.720524623395575,9.1805,-18.8345,13.0808,0.15663448275862066,0.1259855679129115,0.146125,-0.2314,0.4068,,,,,,,,,,
Duque,20240627T095239,88,0.7915727272727273,0.0286486232734663,0.0409250000000001,0.7225,0.8437,50.35449545454546,2.1726427220507865,3.1705499999999986,45.8601,55.4155,53.20706022727273,3.4497021086631365,4.605000000000004,47.1698,62.8049,52.0966375,2.5350464380027558,3.882125000000002,47.619,57.4132,48.78932727272727,3.092634048376672,5.112225000000002,41.4013,53.8206,47.324960227272726,2.411573691312342,2.893474999999995,39.8671,51.8072,0.42181818181818187,0.03953160977456978,0.05249999999999999,0.35,0.515,0.4129545454545455,0.03341343562477202,0.05124999999999996,0.35,0.48,0.3865340909090909,0.034552624819580276,0.06,0.32,0.445,0.37517045454545456,0.030714189162062668,0.04500000000000004,0.3,0.435,0.002215909090909091,0.027676891420538616,0.045,-0.055,0.045,0.25950340909090913,3.5179520626091296,5.787624999999999,-7.1313,5.6382,-0.0055681818181818185,0.01637266817970987,0.025,-0.05,0.03,-0.7054897727272728,2.0451633201253525,3.0275250000000002,-6.0423,3.7855,24.973521428571434,12.375952150699465,17.158725000000004,-0.7968,56.5599,21.774422352941173,15.624901798452372,21.398699999999998,-15.6755,58.0932,0.5782313953488373,0.2250784633184499,0.2772,-0.3116,0.9293,-17.75187411764706,14.904050943229151,28.337,-40.4855,7.9368,0.8992872093023254,9.00530511751165,13.594925,-19.4786,20.6839,-0.20513647058823523,0.14181829575624041,0.21070000000000003,-0.4795,0.1167,13.588727272727272,7.676317424745706,9.093374999999998,-18.2873,29.5576,-1.6074023529411767,7.2716413371524915,8.4797,-15.8672,16.3881,0.14372386363636364,0.13207339999863554,0.16855,-0.2435,0.4158,,,,,,,,,,
Duque,20241122T111237,368,0.7478771739130434,0.04226427264079237,0.058699999999999974,0.5925,0.8231,48.954408423913044,2.418510994885316,3.552900000000001,43.9765,55.0457,50.56143586956521,3.380432654897254,4.092675,36.036,60.1824,51.26973451086956,3.2959876002516815,3.8240750000000006,40.458,61.1111,46.95399402173912,3.6771438139566994,5.631999999999998,33.935,56.2874,47.03246739130436,3.174606546184183,4.8408000000000015,32.8767,53.3333,0.37921195652173917,0.04361465729277827,0.06,0.2,0.495,0.3843342391304348,0.04210282885727066,0.05499999999999999,0.265,0.495,0.3518478260869566,0.04222017926887044,0.06624999999999998,0.23,0.47,0.35254076086956526,0.03888603444199292,0.065,0.235,0.43,-0.013355978260869565,0.03152052083830123,0.04,-0.135,0.075,-1.8162565217391304,4.263724895599204,5.5367999999999995,-18.3422,9.8765,-0.009144021739130436,0.02978375134653131,0.035,-0.135,0.1,-1.2846714673913042,4.131428694473807,4.622325,-22.7848,12.7186,14.680500835654598,18.960616422219243,22.8004,-42.7667,73.6465,12.503481408450703,20.505087784955943,25.637500000000003,-50.0349,91.2083,0.3756697222222223,0.35851929867276877,0.47375,-0.7882,0.949,-3.3686180555555554,16.667714290190556,29.741525,-57.883,24.2511,-0.4814732782369144,9.15637184823656,12.9513,-18.9694,26.1491,-0.050887430167597766,0.15451125450506056,0.23969999999999997,-0.618,0.2722,9.739551966292135,8.41662486866984,10.337575000000001,-25.8119,37.7275,-5.177389136490252,7.7939443677452145,10.2477,-53.4006,35.4721,0.05383888888888888,0.149157275947643,0.2112,-0.4354,0.6043,,,,,,,,,,
Duque,20241216T115742,391,0.7747084398976983,0.04130663143346783,0.05339999999999989,0.6431,0.8762,47.045349872122756,1.9165391475912992,2.408700000000003,42.0607,55.0788,48.90116163682865,2.471988329719233,2.994649999999993,40.2556,58.4795,48.12506521739131,2.619213504013673,2.9243000000000023,39.0071,56.9579,46.71249130434783,3.2259067341702887,3.9256499999999974,37.193,55.0802,44.44267774936061,3.6083826640897776,4.579450000000001,29.4314,53.1073,0.3795652173913044,0.0362037002980791,0.050000000000000044,0.275,0.5,0.37328644501278774,0.03325511019757321,0.040000000000000036,0.26,0.46,0.36251918158567775,0.040419074138335676,0.04749999999999999,0.245,0.515,0.344846547314578,0.03903945383835582,0.04999999999999999,0.22,0.47,0.006521739130434782,0.027947733508277936,0.042499999999999996,-0.085,0.085,0.7921562659846548,3.5759657380773304,5.47775,-10.5019,11.4671,-0.0029667519181585675,0.02733733090412037,0.03,-0.12,0.08,-0.39646496163682865,3.529378912736149,3.77955,-14.923,10.1266,25.677443307086612,23.27474397720772,29.254999999999995,-72.6579,81.072,7.32794335106383,23.212407252500885,34.044925,-39.0118,78.0713,0.40269461538461543,0.32185070617608885,0.400875,-0.7434,0.9639,-19.622626098191216,17.89161063543082,27.879000000000005,-48.3822,31.2032,1.9680148148148147,9.02116578225162,12.6446,-21.2602,23.9926,-0.2096114285714286,0.20132007818264003,0.26089999999999997,-0.5848,0.4017,7.42119005235602,8.584006570052468,12.197275,-15.4772,27.3961,2.218009186351706,9.55510102973907,13.116599999999998,-25.3822,25.4303,0.10518020565552699,0.16640781198813728,0.2308,-0.42,0.5358,1.9719230769230767,0.969625224982868,0.78,0.42,2.92,1.4950999999999999,0.7348636710302122,0.6377999999999999,0.3119,2.263
Duque,20241227T101523,231,0.756634199134199,0.03629400236874933,0.043749999999999956,0.5763,0.83,47.27227012987014,1.3991096854224927,1.705200000000005,43.2114,51.9512,50.79113376623376,3.4407885447939575,5.053350000000002,38.796,60.3659,46.91919610389611,2.7403458521067496,3.394200000000005,38.6667,54.6667,45.176172294372286,2.2644780675569485,2.056350000000002,35.9322,54.8387,46.202563636363635,1.955831163486061,2.5208999999999975,38.4615,51.0903,0.38491341991341993,0.03979831045126263,0.05499999999999999,0.275,0.495,0.35547619047619045,0.03159510274707686,0.034999999999999976,0.25,0.43,0.3417965367965367,0.02658288410019706,0.024999999999999967,0.215,0.42,0.349978354978355,0.026757761310050136,0.02999999999999997,0.225,0.42,-0.003290043290043291,0.02575381500650772,0.025,-0.09,0.065,-0.43252207792207786,3.457596675071713,3.3169,-12.1008,8.9888,-0.010995670995670996,0.025441407165672784,0.030000000000000002,-0.11,0.125,-1.4890493506493505,3.4734228680938637,3.96935,-19.0889,15.7233,3.7745111607142863,17.249477595661794,24.575625,-34.156,48.4874,7.055634666666666,17.917258546416914,24.7365,-43.0988,52.7428,0.11727675438596491,0.3503619062002772,0.542025,-0.693,0.7678,-7.480978414096914,20.702712112619047,39.32995,-53.3927,56.145,1.9141537777777784,10.616467183834896,16.2554,-23.833,30.0768,-0.0650504424778761,0.1738838639878896,0.259525,-0.3838,0.6637,10.539399559471367,10.574580509546273,12.683300000000001,-38.4421,41.1743,-6.562100884955751,8.840538154132128,10.124550000000001,-28.9425,22.9385,0.04728771929824562,0.16733775264671982,0.1892,-0.4631,0.9316,,,,,,,,,,
Duque,20250128T141634,166,0.7568927710843374,0.040823257729736516,0.05690000000000006,0.6331,0.8438,47.49082289156627,1.654209721951867,1.8925000000000054,43.4753,52.617,49.88062228915663,2.958155672576606,3.665849999999999,39.8625,58.2043,55.03180662650602,3.1530636853343146,4.607725000000002,46.6431,60.5882,43.85979337349398,3.3502950407414014,4.336124999999996,32.7869,52.9231,41.1910734939759,3.3359724743099695,4.700599999999994,30.6667,48.366,0.3782831325301204,0.038117497196852076,0.050000000000000044,0.275,0.49,0.4174397590361445,0.04362629854560285,0.065,0.29,0.515,0.3322289156626506,0.036196040399956296,0.03999999999999998,0.2,0.43,0.31195783132530125,0.03143909020382275,0.04500000000000004,0.225,0.395,-0.025,0.026215886925159092,0.03,-0.13,0.065,-3.3621331325301207,3.4956301710527633,4.15715,-17.435,8.1505,-0.007921686746987951,0.026469877897820387,0.030000000000000002,-0.11,0.085,-1.0582530120481928,3.5299958227750152,3.9755249999999998,-14.5937,11.6939,16.52281320754717,22.201485411424283,27.03465,-37.2429,90.9808,5.858152830188679,17.90068588599936,19.53235,-33.4364,59.3066,0.22948789808917194,0.38965064387946524,0.618,-0.8392,0.9433,-2.2188309090909115,19.983609350944914,37.3289,-35.4274,27.6021,-0.3264434782608697,10.250525758026894,14.7863,-24.0612,29.2712,-0.030458895705521474,0.18663862842668777,0.3138,-0.4318,0.3504,5.626221739130434,7.423177170724268,10.8623,-12.6397,21.639,-1.450620625,7.65455706898852,10.65605,-18.1756,17.6028,0.043813043478260864,0.14831434486017983,0.2047,-0.3183,0.4114,,,,,,,,,,
Duque,20250308T111144,158,0.758296835443038,0.047523027500234405,0.05302499999999999,0.63,0.835,44.969598101265824,2.998914190306951,4.348050000000001,39.2367,54.1827,47.87892151898734,3.7439431425561494,4.610999999999997,38.61,57.0588,49.142831012658235,3.962100009539461,5.3841250000000045,37.4101,59.4427,42.112229746835446,4.031146855171985,6.114125000000001,34.507,52.9231,40.74439050632911,4.3097584405948695,7.244999999999997,30.8197,53.1343,0.3646518987341772,0.0489153600477513,0.065,0.25,0.485,0.3739873417721519,0.04764772367314903,0.06000000000000005,0.25,0.48,0.3199367088607595,0.04515362080610987,0.065,0.235,0.43,0.3104113924050633,0.04814377746788139,0.07499999999999996,0.21,0.445,0.0004113924050632908,0.024945578918978795,0.035,-0.06,0.065,0.055293037974683566,3.2667297740168277,4.515675,-8.283,8.0123,-0.005886075949367089,0.029811077042603724,0.04,-0.1,0.065,-0.740763924050633,3.9082390442054615,5.464875,-12.8411,8.6093,0.44078451612903075,21.647461895809816,31.144099999999998,-55.0623,38.1008,9.519651315789472,17.033954610076428,20.469425,-39.455,76.955,0.13153141025641027,0.3743139749538351,0.5580499999999999,-0.7923,0.8912,-9.594440384615385,23.00780117659332,44.079750000000004,-44.4896,31.3627,-0.654498717948718,10.780996788112343,14.569799999999999,-27.1259,28.4937,-0.10946948051948052,0.21703927608413892,0.36555,-0.5376,0.369,11.62026923076923,11.459823025681958,16.513275,-9.0201,43.0296,0.16016193548387098,8.047917964933225,11.364749999999999,-20.8831,28.4514,0.13401602564102563,0.18739917254500935,0.26105,-0.2736,0.8352,0.8933227848101266,0.42483477895983457,0.5887499999999999,0.04,2.24,0.6719240506329115,0.31237805700894755,0.4189,0.0307,1.5736
Duque,20250309T134916,272,0.7972647058823529,0.02787572851969221,0.03264999999999996,0.6613,0.8675,50.079407352941175,1.9863431629265735,2.7351499999999973,43.6544,54.9153,55.0611455882353,2.553790133109161,3.536324999999998,48.5623,61.1621,53.016445955882354,3.682995795517432,5.900599999999997,42.1405,61.3497,49.29860661764706,3.2267607320232568,4.739650000000005,38.3275,56.1728,42.94142830882353,4.319360825883525,5.725874999999995,30.1003,54.9849,0.43957720588235294,0.03237102587421872,0.041250000000000064,0.315,0.52,0.4232720588235294,0.03763722090194253,0.04999999999999999,0.275,0.505,0.39329044117647055,0.03656264175029431,0.05499999999999999,0.275,0.465,0.34297794117647057,0.04324212564654924,0.05625000000000002,0.225,0.455,0.0027022058823529416,0.03276264177723064,0.045,-0.12,0.11,0.3086338235294117,4.109126432454024,6.095775,-14.3605,14.0687,-0.022003676470588235,0.030121708610354753,0.04125,-0.11,0.05,-2.7966533088235295,3.8259181110211875,5.245425,-14.9673,6.1776,20.44849698113208,19.772280811501098,30.470499999999998,-28.6701,64.7741,20.177063773584905,27.002419187902646,40.144000000000005,-46.2117,81.5279,0.47477857142857144,0.3333021163814694,0.48765,-0.5196,0.9514,-7.848827067669173,13.736717965141112,25.121025000000003,-35.4575,30.7336,-0.42334624060150383,7.171545020621228,9.837074999999999,-17.7717,17.7744,-0.10712296296296296,0.1863917475639988,0.28109999999999996,-0.5206,0.5682,7.145830597014926,8.130361914534157,12.33745,-15.2262,25.5901,-3.0844151515151514,9.033232826097862,12.044425,-36.9389,33.5381,0.045475187969924814,0.1524980875381548,0.2087,-0.3934,0.4938,,,,,,,,,,
Duque,20250411T104319,209,0.7684684210526315,0.03953784163371379,0.04749999999999999,0.63,0.835,46.598114354066986,2.3161001297532384,2.7021999999999977,40.8511,53.4064,49.33751483253588,2.716330124171372,3.0444999999999993,40.7895,58.3333,48.790942105263156,3.4133136355683877,4.616199999999999,40.7143,57.3171,45.42546985645933,2.747077633105434,2.986600000000003,36.6197,52.2013,42.83853875598086,3.9023473615840385,5.0797000000000025,30.9148,52.3077,0.37990430622009574,0.036105353729132456,0.050000000000000044,0.28,0.455,0.3758612440191388,0.04118701345437819,0.05500000000000005,0.275,0.47,0.3493301435406698,0.03485245136062428,0.044999999999999984,0.255,0.43,0.33009569377990433,0.04172068789791234,0.05499999999999999,0.2,0.425,-0.006698564593301435,0.021994537080630736,0.025,-0.07,0.07,-0.9094856459330143,2.927684965808948,3.1944,-9.6654,8.7568,-0.012583732057416268,0.0325114465559229,0.04,-0.11,0.06,-1.7008033492822965,4.295964623121765,5.4124,-15.6863,8.3045,7.259932835820895,14.127105821456015,18.6577,-34.1739,50.5259,4.76537794117647,15.488102227150799,25.345725,-33.3638,39.1966,0.15368834951456312,0.32333923431741146,0.46530000000000005,-0.7356,0.8426,-6.743415942028987,16.413540695904217,30.72045,-31.5843,23.6541,3.3443708737864077,8.18459962602735,11.373375000000001,-23.2321,25.2487,-0.04135804878048781,0.1553391151077171,0.2625,-0.3716,0.3287,6.166604901960784,8.817385540310593,13.083375,-18.1647,31.6874,-5.666300487804877,6.126091807232162,8.278500000000001,-17.8635,13.8293,0.007858333333333333,0.13058496989972085,0.183075,-0.3314,0.4219,0.6707177033492824,0.34778137712020046,0.52,0.09,1.78,0.5120349282296651,0.25954571865517334,0.40359999999999996,0.0646,1.3172
Duque,20250413T103843,148,0.7349155405405405,0.03236330691384466,0.05074999999999996,0.6456,0.7931,45.118701351351355,1.9994038954841196,2.1980000000000004,40.2819,51.0678,47.83214932432433,2.834178081421565,2.903400000000005,37.5479,55.6962,45.667904054054056,3.2283836686633602,4.231125000000006,35.4244,52.7687,43.76325743243243,2.262165748033737,2.234924999999997,36.0784,52.6984,43.211485135135135,3.50106241652493,4.0706500000000005,33.6634,50.0,0.3520608108108108,0.03284124384516058,0.04124999999999995,0.245,0.44,0.33614864864864863,0.03326912827413142,0.04124999999999995,0.24,0.405,0.3218243243243243,0.025998094178245088,0.02625000000000005,0.23,0.415,0.3180067567567567,0.034879480863799925,0.04999999999999999,0.235,0.395,0.0016216216216216224,0.024301229051364386,0.025,-0.08,0.06,0.20425405405405403,3.3288506917671588,3.5165499999999996,-11.6047,7.9933,-0.013716216216216218,0.03150489445627825,0.035,-0.105,0.04,-1.8732418918918916,4.24301212102741,4.927275,-13.986,5.3422,2.2504685314685315,14.853461409658966,18.3707,-41.1731,40.0597,4.6386076923076915,17.526375452756817,26.0996,-32.4101,43.0033,0.0709110344827586,0.3734432446312665,0.5396000000000001,-0.8355,0.7929,-2.0286571428571434,15.418272448126524,28.14975,-25.2065,31.8067,0.11976190476190489,8.479287189335183,12.410499999999999,-16.0082,21.5961,-0.027305555555555545,0.14645061783899535,0.227275,-0.4406,0.306,5.5462417808219175,7.803038280406145,11.354500000000002,-13.2843,20.2482,-2.5833139860139855,6.588920074411748,8.00585,-19.6624,21.5812,0.0346,0.13552271401497984,0.17735,-0.3383,0.3056,,,,,,,,,,
Duque,20250628T192525,169,0.7553556213017751,0.04279493858867091,0.04370000000000007,0.5919,0.81,48.65470769230769,2.4357994855507963,3.0526999999999944,42.1691,54.0659,53.058321301775145,3.7080443071877314,5.882400000000004,44.5205,60.8696,48.711761538461545,3.701529082030701,4.424599999999998,37.7358,56.9536,44.376359171597635,4.001461595354494,5.3369,35.0168,54.1254,48.472385207100594,2.668888341337994,3.542900000000003,39.4052,53.9683,0.4015384615384615,0.043871430122032505,0.05499999999999999,0.285,0.49,0.3689349112426036,0.042671801496984255,0.040000000000000036,0.25,0.445,0.3360355029585799,0.043741923539029885,0.06,0.21,0.425,0.36680473372781064,0.03639029143592797,0.050000000000000044,0.265,0.43,0.002662721893491124,0.0329413055900304,0.05,-0.11,0.07,0.3722739644970416,4.43972189161814,6.3115,-14.3791,8.8258,-0.012130177514792898,0.0229690703129171,0.025,-0.075,0.04,-1.662378698224852,3.1432714186732738,3.4188,-12.6716,5.3646,27.58367987804878,18.565529598305123,27.489475,-34.15,62.7486,4.940556790123456,18.097560211021193,27.304475,-39.5671,53.1261,0.37571077844311374,0.3721703789495648,0.48069999999999996,-0.6408,0.9253,-9.791899397590361,18.865880074033594,34.969575,-45.4505,38.4382,0.22014753086419797,8.573564760979423,11.787749999999999,-18.1378,24.5269,-0.11331506024096388,0.19320924333791195,0.2953,-0.5064,0.5674,9.27815119047619,8.306153254994015,9.861775,-17.9468,30.6434,1.4061281249999997,7.284267847835864,9.33995,-16.4802,17.9747,0.13321017964071855,0.17232441164140935,0.23415000000000002,-0.2629,0.7841,,,,,,,,,,
